date,cf-release-commit-sha,diego-release-version,garden-runc-release-version,etcd-release-version,cflinuxfs2-rootfs-release-version,bosh-lite-commit-sha,aws-stemcell,bosh-lite-stemcell,vsphere-stemcell,aws-director-version,bosh-lite-director-version,vsphere-director-version,aws-acceptance-tests-build-url,bosh-lite-acceptance-tests-build-url,vsphere-acceptance-tests-build-url
2016-10-19T23:48:53Z,81ed088c0983c90321ab5fffc1d90acf867385ea,0.1487.0,1.0.0,77,1.36.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/94,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/82,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/69
2016-10-20T20:13:43Z,229db322796b7c8862a00f3e41a3c03b43fe48bd,0.1487.0,1.0.0,77,1.36.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/96,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/84,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/71
2016-10-20T23:16:51Z,229db322796b7c8862a00f3e41a3c03b43fe48bd,0.1487.0,1.0.0,78,1.36.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/96,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/85,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/72
2016-10-21T00:37:30Z,6a5724912d30fd943c62e8966001b72575a10bd6,0.1487.0,1.0.0,78,1.36.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.7,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.7,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/98,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/86,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/73
2016-10-25T19:46:21Z,44841e36aced5d73cb365723fa25f783cabbbfec,0.1487.0,1.0.0,78,1.37.0,566dbe0bd7d203c3ee66ae3afd70d24cc7f1058a,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.8,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/103,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/90,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/78
2016-10-28T21:27:36Z,777072097ac04a22714fe2f92325aaaff39e37c1,0.1487.0,1.0.0,78,1.38.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.8,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/118,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/102,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/89
2016-10-31T17:18:51Z,e9a1cb90e3828751db38c9ba63558e803bb1114f,0.1487.0,1.0.0,78,1.38.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.8,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/121,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/103,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/90
2016-11-02T20:49:10Z,e49436ed475f391ebff422b391d89856140ae920,0.1487.0,1.0.0,78,1.38.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.8,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/122,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/108,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/95
2016-11-03T17:00:58Z,5caee47d4994f227208906fb11cdb9f2c94bdc91,0.1488.0,1.0.3,78,1.38.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.8,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/127,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/112,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/98
2016-11-03T21:01:25Z,5caee47d4994f227208906fb11cdb9f2c94bdc91,0.1488.0,1.0.3,79,1.38.0,d916aecb0d8fe8a9f8a23e641696504442a9c3fe,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3263.8,bosh-warden-boshlite-ubuntu-trusty-go_agent/3262.2,bosh-vsphere-esxi-ubuntu-trusty-go_agent/3263.10,1.3215.3.0,1.3262.3.0,1.0000.0,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/aws-acceptance-tests/builds/127,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/bosh-lite-acceptance-tests/builds/113,https://runtime.ci.cf-app.com/pipelines/cf-release/jobs/vsphere-acceptance-tests/builds/99
