date,cf-release-commit-sha,diego-release-commit-sha,diego-release-version,garden-linux-release-version,etcd-release-version,cflinuxfs2-rootfs-release-version,stemcell,director-version
2016-04-15T17:52:39Z,9830a3298f86ba2bc62d3320bba4cbb4993dc848,3a5868c7260f031c818919e70c8cc2682722015e,0.1466.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215,1.3215.1.0
2016-04-16T05:22:04Z,49d64aa1eda7aca3f114b8dbcf7df64c59e9b387,3a5868c7260f031c818919e70c8cc2682722015e,0.1466.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-18T20:31:29Z,f859e0d2ce413aa4d7b728455b80909148136cc9,3a5868c7260f031c818919e70c8cc2682722015e,0.1466.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-19T01:35:40Z,edc3e3c946cd9d52b30436f520e6011593dfba38,3a5868c7260f031c818919e70c8cc2682722015e,0.1466.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-19T02:02:54Z,edc3e3c946cd9d52b30436f520e6011593dfba38,be493c412327b02b8df866c7365f8b884e6857af,0.1467.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-19T04:57:30Z,91a2e85c9df8fe8e78d79edb0135d4db9a4c3002,be493c412327b02b8df866c7365f8b884e6857af,0.1467.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-20T04:56:18Z,abf80793d724fa6805370e9c3e992fa9d6d60ce8,be493c412327b02b8df866c7365f8b884e6857af,0.1467.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-20T20:08:41Z,b06cf98f7194791f18ee7985b62e9633efff2c13,be493c412327b02b8df866c7365f8b884e6857af,0.1467.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-21T03:34:55Z,b0fefa7185dda058a119c81ff672662b011c3683,a54eeaf40af79dda330f073fd8a1e6ef3679d048,0.1468.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-22T01:13:46Z,df41188ce7d5a7a627f174c337a99b3f33e2e100,a54eeaf40af79dda330f073fd8a1e6ef3679d048,0.1468.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-22T18:28:24Z,2255534579c2e5c39a467f374f5d616aae8345cb,a54eeaf40af79dda330f073fd8a1e6ef3679d048,0.1468.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-23T03:21:54Z,fb04a6dfefe529bb8e47990a8e36ae53d5ee6fe5,a54eeaf40af79dda330f073fd8a1e6ef3679d048,0.1468.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-25T22:11:58Z,9edc7207e2ea57e8f845852b1dc43b785414f9a9,a54eeaf40af79dda330f073fd8a1e6ef3679d048,0.1468.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.1.0
2016-04-26T02:51:02Z,548897e81a42785f852a761d44ade0550701367d,a54eeaf40af79dda330f073fd8a1e6ef3679d048,0.1468.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.3.0
2016-04-26T15:58:27Z,fcf5b8487725452a6332043a938d2bf994e3ea43,a54eeaf40af79dda330f073fd8a1e6ef3679d048,0.1468.0,0.337.0,45,0.2.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.3.0
2016-04-27T00:05:14Z,c9b38ce4eef1695ee0f48094d2e3fc7165d04ba1,a54eeaf40af79dda330f073fd8a1e6ef3679d048,0.1468.0,0.337.0,45,1.1.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3215.4,1.3215.3.0
2016-04-27T16:13:07Z,ba7dd6f4d14c335842379f6dab7c89f8e6640d6b,a54eeaf40af79dda330f073fd8a1e6ef3679d048,0.1468.0,0.337.0,45,1.1.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232,1.3215.3.0
2016-04-28T20:49:31Z,b19a5c54c84ba14469e8b8163c0e129b0a80958f,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,45,1.1.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232,1.3215.3.0
2016-04-29T01:20:40Z,15e4e7eb1048ce31156ae46f21f22f5faf205286,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,45,1.1.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232,1.3215.3.0
2016-04-29T04:12:26Z,b233e35f14614bf62f5114066e0a5de58241b3e7,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,45,1.1.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232,1.3215.3.0
2016-04-29T06:42:48Z,770657dca94e384dfa403ab635cb91623d0f6ca2,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,45,1.1.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232,1.3215.3.0
2016-04-30T00:01:59Z,a82ec24a27dcf58c22336b2f2110a75870940d2f,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,45,1.1.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.1,1.3215.3.0
2016-04-30T02:31:54Z,6528dbda8479a6809bcb8e36db11267d9476b31a,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,45,1.1.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.1,1.3215.3.0
2016-04-30T05:00:23Z,dfa0cb6fa213a26f081a80f3172eb383a3f6767c,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,47,1.1.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.1,1.3215.3.0
2016-05-03T22:15:28Z,6a1c7ad0654b9452973e0c9e922ef6b3a802b132,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,48,1.3.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.1,1.3215.3.0
2016-05-03T23:31:01Z,72dfd8483a6a42eabf07cd4fcb366e36f589f283,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,48,1.3.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.1,1.3215.3.0
2016-05-04T18:31:57Z,98c40b3ce19f6e43bfd70e283cd0f86d137d2e9c,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,48,1.3.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.2,1.3215.3.0
2016-05-04T22:19:43Z,e5356b47a5dca488d6110a53d01f18beea398aab,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,48,1.3.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.2,1.3215.3.0
2016-05-05T03:14:06Z,68533869704e2b1332f984af7ff04d44923c459a,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,48,1.3.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.2,1.3215.3.0
2016-05-05T05:38:50Z,80ace3972f11c1aa82a2de59b8549ed019ef7255,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,48,1.3.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.2,1.3215.3.0
2016-05-05T13:14:42Z,745a4493b8b75ed9c044844e2b016ff31b7f4508,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,48,1.4.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.2,1.3215.3.0
2016-05-05T16:14:10Z,e214191872cdbf8dd7cedba9e31786ca396b6ba8,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,48,1.4.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.2,1.3215.3.0
2016-05-06T04:45:33Z,4eb9eeb8b7b19686889457cfdcb85943f923054a,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,48,1.4.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.2,1.3215.3.0
2016-05-06T09:35:55Z,16937ca40ab1fcbe3dcd7fc4aad8980934dcaa00,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,48,1.4.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.2,1.3215.3.0
2016-05-07T00:29:58Z,cfdde2c484c07828fec86a30594b62714c97d033,03d5027acfa7ba7a7efb3e5cbcdab54a92fd71df,0.1469.0,0.337.0,48,1.4.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.2,1.3215.3.0
2016-05-10T23:23:59Z,5aadc76ba2dae9b366cec8a33030bbaa11362bdf,28efce92fa5f733ed7fbbb761a2b404d9c8c83d8,0.1470.0,0.337.0,49,1.4.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.2,1.3215.3.0
2016-05-11T07:39:30Z,fd1aea7c4807082953352296a4a865abfa760094,28efce92fa5f733ed7fbbb761a2b404d9c8c83d8,0.1470.0,0.337.0,49,1.5.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.3,1.3215.3.0
2016-05-11T20:04:32Z,9f16ce0d25b313b5acf3ccdcb252f4d8f4fa6878,28efce92fa5f733ed7fbbb761a2b404d9c8c83d8,0.1470.0,0.337.0,49,1.5.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.3,1.3215.3.0
2016-05-11T22:32:17Z,47cc79430da0550d00585eb1206820a1efbc33c4,28efce92fa5f733ed7fbbb761a2b404d9c8c83d8,0.1470.0,0.337.0,49,1.5.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.3,1.3215.3.0
2016-05-12T05:23:10Z,73c214c98fb52f076b2e7baaeb151e30d65af3e8,28efce92fa5f733ed7fbbb761a2b404d9c8c83d8,0.1470.0,0.337.0,49,1.5.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.3,1.3215.3.0
2016-05-12T15:58:50Z,87f110915481b5b75a1752225a94330c9a649ac5,8d53c547ae81d6f43db0a4e21dc6417f6da6bc65,0.1472.0,0.337.0,49,1.5.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.3,1.3215.3.0
2016-05-12T22:07:04Z,fe6c99602c42fcc733ea75ff03f32040b176b346,8d53c547ae81d6f43db0a4e21dc6417f6da6bc65,0.1472.0,0.337.0,49,1.5.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.3,1.3215.3.0
2016-05-13T01:09:30Z,bd92aaaab8e0d8245a6de9f094fc8e2833a057e0,8d53c547ae81d6f43db0a4e21dc6417f6da6bc65,0.1472.0,0.337.0,49,1.5.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.3,1.3215.3.0
2016-05-13T17:46:27Z,a3b29dbcbcb243e4ecb23f9e6a7d353bbf150f8f,8d53c547ae81d6f43db0a4e21dc6417f6da6bc65,0.1472.0,0.337.0,49,1.5.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.3,1.3215.3.0
2016-05-17T18:14:45Z,51ee673c1afb8eea597743ce184b1f82c6828784,8d53c547ae81d6f43db0a4e21dc6417f6da6bc65,0.1472.0,0.337.0,49,1.6.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.4,1.3215.3.0
2016-05-17T19:52:36Z,51ee673c1afb8eea597743ce184b1f82c6828784,8d53c547ae81d6f43db0a4e21dc6417f6da6bc65,0.1472.0,0.337.0,49,1.7.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.4,1.3215.3.0
2016-05-18T05:52:04Z,7c837051cb83b3437d7be681abf522aaae25eda5,8d53c547ae81d6f43db0a4e21dc6417f6da6bc65,0.1472.0,0.337.0,49,1.7.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.4,1.3215.3.0
2016-05-18T18:03:01Z,c532f9f0e2128908290131d3b0c787a4c450a902,8d53c547ae81d6f43db0a4e21dc6417f6da6bc65,0.1472.0,0.337.0,49,1.7.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.4,1.3215.3.0
2016-05-18T21:53:08Z,ca45ca01975420229f43e41434abe2be1b25b862,8d53c547ae81d6f43db0a4e21dc6417f6da6bc65,0.1472.0,0.337.0,49,1.8.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.4,1.3215.3.0
2016-05-18T22:44:49Z,ca74a57978fa6f6cef2596162e990e3ff866a518,8d53c547ae81d6f43db0a4e21dc6417f6da6bc65,0.1472.0,0.337.0,49,1.8.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.4,1.3215.3.0
2016-05-19T15:27:44Z,e869447541ef98dd2e91bcad7bf51c1f6ad50f94,8d53c547ae81d6f43db0a4e21dc6417f6da6bc65,0.1472.0,0.337.0,50,1.8.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.4,1.3215.3.0
2016-05-25T00:34:45Z,4b04b2a5270b2af2c5555f450b5caa34f1f279dd,466f05d22c3556bd1ed1e935221db22be34b09b6,0.1473.0,0.337.0,51,1.9.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.4,1.3215.3.0
2016-05-25T03:33:11Z,df834bb186d45768b298181962e7b0202905b927,466f05d22c3556bd1ed1e935221db22be34b09b6,0.1473.0,0.337.0,51,1.9.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.4,1.3215.3.0
2016-05-25T21:19:48Z,df834bb186d45768b298181962e7b0202905b927,466f05d22c3556bd1ed1e935221db22be34b09b6,0.1473.0,0.337.0,51,1.10.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.4,1.3215.3.0
2016-06-08T21:38:04Z,5b82fb5045e095341dced4d6267b65ec20627579,466f05d22c3556bd1ed1e935221db22be34b09b6,0.1473.0,0.338.0,52,1.15.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.6,1.3215.3.0
2016-06-17T23:03:28Z,d1a277bb13117a00421ca4fa47d64047cf590040,6e47084ead539cb67a7047bfbdf23a095c6960ed,0.1475.0,0.338.0,55,1.15.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.8,1.3215.3.0
2016-06-22T00:23:06Z,933ac95997c83845769a550e3a59d35d7858c0e9,90271f9503b04cf533a31f8d009b519c4e60862e,0.1476.0,0.338.0,55,1.16.0,bosh-aws-xen-hvm-ubuntu-trusty-go_agent/3232.11,1.3215.3.0
